reporter_iso,reporter_name,partner_iso,partner_name,section_code,section_name,HS2,imp_sum_hs2,exp_sum_hs2_5yr,imp_rank_hs2_5yr,imp_rank_hs2_5yr
alb,Albania,rus,Russian Federation,99,NA,99,276085188,2876409,17,42
alb,Albania,rus,Russian Federation,02,Vegetable products,10,145961276,0,44,65
alb,Albania,rus,Russian Federation,05,Mineral products,27,71064515,0,87,91
alb,Albania,rus,Russian Federation,15,Base metals and articles of base metal,76,14067248,0,60,92
alb,Albania,rus,Russian Federation,06,Product of the chemicals or allied industries,31,19715122,0,90,51
alb,Albania,rus,Russian Federation,13,"Articles of stone, plaster, cement, asbestos, mica, or similar materials, ceramic products, glass and glassware",70,1524622,0,55,88
alb,Albania,rus,Russian Federation,15,Base metals and articles of base metal,72,267052,0,115,74
alb,Albania,rus,Russian Federation,09,"Wood and articles of wood, wood charcoal, cork and articles of cork, manufacturers of straw, of esparto or of other plaiting materials, basketwork and wickerwork",44,751395,0,97,103
alb,Albania,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",84,203073,0,129,117
alb,Albania,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",87,157731,0,116,96
alb,Albania,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",40,353856,0,96,97
alb,Albania,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",39,83631,0,113,109
alb,Albania,rus,Russian Federation,02,Vegetable products,12,8430,0,83,98
alb,Albania,rus,Russian Federation,20,Miscellaneous manufactured articles,95,0,116041,130,64
dza,Algeria,rus,Russian Federation,05,Mineral products,27,272218459,34225,73,79
dza,Algeria,rus,Russian Federation,03,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetble waxes,15,373311108,2728,9,78
dza,Algeria,rus,Russian Federation,17,"Vehicles, aircraft, vessels and associated transport equipment",88,116976625,1370831,12,44
dza,Algeria,rus,Russian Federation,15,Base metals and articles of base metal,72,593766506,0,29,74
dza,Algeria,rus,Russian Federation,02,Vegetable products,10,64943498,0,63,65
dza,Algeria,rus,Russian Federation,02,Vegetable products,07,13684757,449,25,82
dza,Algeria,rus,Russian Federation,15,Base metals and articles of base metal,82,11253145,0,17,96
dza,Algeria,rus,Russian Federation,15,Base metals and articles of base metal,73,17174226,0,42,103
dza,Algeria,rus,Russian Federation,10,"Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard, paper and paperboard and articles thereof",48,8716893,1141,77,83
dza,Algeria,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",40,3350479,0,68,97
dza,Algeria,rus,Russian Federation,06,Product of the chemicals or allied industries,31,7835639,0,103,51
dza,Algeria,rus,Russian Federation,06,Product of the chemicals or allied industries,28,9835649,0,76,85
dza,Algeria,rus,Russian Federation,07,"Plastics and articles thereof, rubber and articles thereof",39,3235808,0,69,109
dza,Algeria,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",84,20495514,10626,56,102
dza,Algeria,rus,Russian Federation,06,Product of the chemicals or allied industries,38,5566416,0,50,87
dza,Algeria,rus,Russian Federation,16,"Machinery and mechanical appliances, electrical equipment, parts thereof, sound recorders and reproducers, television image and souch recorders and reproducers, and parts and accessories of such articles",85,177185588,1160595,19,69
dza,Algeria,rus,Russian Federation,15,Base metals and articles of base metal,74,975164,0,65,84
