ccode1,country,year,IdealPointDistance
2,RUS,2017,2.5273587
2,CHN,2017,3.0021698
20,RUS,2017,1.3414467
20,CHN,2017,1.8162578
31,RUS,2017,0.6315728
31,CHN,2017,0.1567617
40,RUS,2017,1.9792143
40,CHN,2017,1.5044032
41,RUS,2017,0.3611832
41,CHN,2017,0.1136279
42,RUS,2017,0.7455061
42,CHN,2017,0.270695
51,RUS,2017,0.6177636
51,CHN,2017,0.1429525
52,RUS,2017,0.7701538
52,CHN,2017,0.2953427
53,RUS,2017,0.5393117
53,CHN,2017,0.0645006
54,RUS,2017,0.6271414
54,CHN,2017,0.1523303
55,RUS,2017,0.6881378
55,CHN,2017,0.2133267
56,RUS,2017,0.6331517
56,CHN,2017,0.1583406
57,RUS,2017,0.8079563
57,CHN,2017,0.3331452
58,RUS,2017,0.602111
58,CHN,2017,0.1272999
60,RUS,2017,0.6410637
60,CHN,2017,0.1662526
70,RUS,2017,0.08228436
70,CHN,2017,0.39252674
80,RUS,2017,0.5761907
80,CHN,2017,0.1013796
90,RUS,2017,0.075670780000000007
90,CHN,2017,0.39914032
91,RUS,2017,0.02219959
91,CHN,2017,0.45261151
92,RUS,2017,0.5925741
92,CHN,2017,0.117763
93,RUS,2017,1.4088813
93,CHN,2017,0.9340702
94,RUS,2017,0.3246158
94,CHN,2017,0.1501953
95,RUS,2017,0.2207858
95,CHN,2017,0.2540253
100,RUS,2017,0.3478181
100,CHN,2017,0.126993
101,RUS,2017,1.6815273
101,CHN,2017,1.2067162
110,RUS,2017,0.8114212
110,CHN,2017,0.3366101
115,RUS,2017,0.5745341
115,CHN,2017,0.099723
130,RUS,2017,1.0271447
130,CHN,2017,0.5523336
135,RUS,2017,0.2810139
135,CHN,2017,0.1937972
140,RUS,2017,0.3965051
140,CHN,2017,0.078306
145,RUS,2017,1.8460452999999999
145,CHN,2017,1.3712342
150,RUS,2017,0.15116094
150,CHN,2017,0.32365016
155,RUS,2017,0.4664641
155,CHN,2017,0.00834699999999999
160,RUS,2017,0.2087281
160,CHN,2017,0.266083
165,RUS,2017,0.5872549
165,CHN,2017,0.1124438
200,RUS,2017,1.5531657
200,CHN,2017,2.0279768
205,RUS,2017,0.6232011
205,CHN,2017,1.0980122
210,RUS,2017,0.9088117
210,CHN,2017,1.3836228
211,RUS,2017,0.9274827
211,CHN,2017,1.4022938
212,RUS,2017,0.9588077
212,CHN,2017,1.4336188
220,RUS,2017,1.4271577
220,CHN,2017,1.9019688
221,RUS,2017,0.8807943
221,CHN,2017,1.3556054
223,RUS,2017,0.5690462
223,CHN,2017,1.0438573
225,RUS,2017,0.5650404
225,CHN,2017,1.0398515
230,RUS,2017,0.9408447
230,CHN,2017,1.4156558
232,RUS,2017,0.6723275
232,CHN,2017,1.1471386
235,RUS,2017,0.9159877
235,CHN,2017,1.3907988
255,RUS,2017,1.0934377
255,CHN,2017,1.5682488
290,RUS,2017,1.0067197
290,CHN,2017,1.4815308
305,RUS,2017,0.5932156
305,CHN,2017,1.0680267
310,RUS,2017,1.0007687
310,CHN,2017,1.4755798
316,RUS,2017,1.1288487
316,CHN,2017,1.6036598
317,RUS,2017,0.9463747
317,CHN,2017,1.4211858
325,RUS,2017,0.9052187
325,CHN,2017,1.3800298
331,RUS,2017,0.587662
331,CHN,2017,1.0624731
338,RUS,2017,0.5847317
338,CHN,2017,1.0595428
339,RUS,2017,0.9413617
339,CHN,2017,1.4161728
341,RUS,2017,0.9380337
341,CHN,2017,1.4128448
343,RUS,2017,0.7766963
343,CHN,2017,1.2515074
344,RUS,2017,0.9540187
344,CHN,2017,1.4288298
345,RUS,2017,0.4062228
345,CHN,2017,0.8810339
346,RUS,2017,0.6951561
346,CHN,2017,1.1699672
349,RUS,2017,0.9516367
349,CHN,2017,1.4264478
350,RUS,2017,0.8100334
350,CHN,2017,1.2848445
352,RUS,2017,0.5631977
352,CHN,2017,1.0380088
355,RUS,2017,0.9112787
355,CHN,2017,1.3860898
359,RUS,2017,0.6641678
359,CHN,2017,1.1389789
360,RUS,2017,1.0044497
360,CHN,2017,1.4792608
365,CHN,2017,0.4748111
366,RUS,2017,0.9735057
366,CHN,2017,1.4483168
367,RUS,2017,0.9767127
367,CHN,2017,1.4515238
368,RUS,2017,0.9986397
368,CHN,2017,1.4734508
369,RUS,2017,1.0776817
369,CHN,2017,1.5524928
370,RUS,2017,0.3473152
370,CHN,2017,0.1274959
371,RUS,2017,0.0539971
371,CHN,2017,0.5288082
372,RUS,2017,0.7965639
372,CHN,2017,1.271375
373,RUS,2017,0.9147936
373,CHN,2017,0.4399825
375,RUS,2017,0.7913805
375,CHN,2017,1.2661916
380,RUS,2017,0.6895926
380,CHN,2017,1.1644037
385,RUS,2017,0.821745
385,CHN,2017,1.2965561
390,RUS,2017,1.0214767
390,CHN,2017,1.4962878
395,RUS,2017,0.8194695
395,CHN,2017,1.2942806
402,RUS,2017,0.6544357
402,CHN,2017,0.1796246
403,RUS,2017,0.6097991
403,CHN,2017,0.134988
404,RUS,2017,0.7578033
404,CHN,2017,0.2829922
411,RUS,2017,0.5144818
411,CHN,2017,0.0396707
420,RUS,2017,0.7458705
420,CHN,2017,0.2710594
432,RUS,2017,0.2616459
432,CHN,2017,0.2131652
433,RUS,2017,0.674088
433,CHN,2017,0.1992769
434,RUS,2017,0.69178
434,CHN,2017,0.2169689
435,RUS,2017,0.7653455
435,CHN,2017,0.2905344
436,RUS,2017,0.7156755
436,CHN,2017,0.2408644
437,RUS,2017,0.5223017
437,CHN,2017,0.0474906
438,RUS,2017,0.9167791
438,CHN,2017,0.441968
439,RUS,2017,0.7100563
439,CHN,2017,0.2352452
450,RUS,2017,0.3487009
450,CHN,2017,0.1261102
451,RUS,2017,0.7133768
451,CHN,2017,0.2385657
452,RUS,2017,0.5131117
452,CHN,2017,0.0383006
461,RUS,2017,0.08937036
461,CHN,2017,0.38544074
471,RUS,2017,0.01765883
471,CHN,2017,0.45715227
475,RUS,2017,0.6038969
475,CHN,2017,0.1290858
481,RUS,2017,0.5125616
481,CHN,2017,0.0377505
482,RUS,2017,0.19093252
482,CHN,2017,0.28387858
483,RUS,2017,0.7138629
483,CHN,2017,0.2390518
484,RUS,2017,0.840764
484,CHN,2017,0.3659529
490,RUS,2017,0.6085825
490,CHN,2017,0.1337714
500,RUS,2017,1.2004753
500,CHN,2017,0.7256642
501,RUS,2017,0.8549812
501,CHN,2017,0.3801701
510,RUS,2017,0.8918369
510,CHN,2017,0.4170258
516,RUS,2017,1.6940863
516,CHN,2017,1.2192752
517,RUS,2017,0.2844787
517,CHN,2017,0.1903324
520,RUS,2017,0.6984742
520,CHN,2017,0.2236631
522,RUS,2017,0.7664253
522,CHN,2017,0.2916142
530,RUS,2017,0.6294613
530,CHN,2017,0.1546502
531,RUS,2017,0.8874094
531,CHN,2017,0.4125983
540,RUS,2017,0.6780545
540,CHN,2017,0.2032434
541,RUS,2017,0.8618496
541,CHN,2017,0.3870385
551,RUS,2017,0.8370558
551,CHN,2017,0.3622447
552,RUS,2017,2.0610133
552,CHN,2017,1.5862022
553,RUS,2017,0.594691
553,CHN,2017,0.1198799
560,RUS,2017,0.5626036
560,CHN,2017,0.0877925
565,RUS,2017,0.8978995
565,CHN,2017,0.4230884
570,RUS,2017,0.8419444
570,CHN,2017,0.3671333
571,RUS,2017,0.5181075
571,CHN,2017,0.0432964
572,RUS,2017,0.8578418
572,CHN,2017,0.3830307
580,RUS,2017,0.6517024
580,CHN,2017,0.1768913
581,RUS,2017,0.7090225
581,CHN,2017,0.2342114
590,RUS,2017,0.8056517
590,CHN,2017,0.3308406
591,RUS,2017,0.5014943
591,CHN,2017,0.0266832
600,RUS,2017,0.4823145
600,CHN,2017,0.00750339999999999
615,RUS,2017,1.08341
615,CHN,2017,0.6085989
616,RUS,2017,0.8280422
616,CHN,2017,0.3532311
620,RUS,2017,0.9147772
620,CHN,2017,0.4399661
625,RUS,2017,1.4042203
625,CHN,2017,0.9294092
626,RUS,2017,0.6143643
626,CHN,2017,1.0891754
630,RUS,2017,1.6883453
630,CHN,2017,1.2135342
640,RUS,2017,0.5596872
640,CHN,2017,1.0344983
645,RUS,2017,0.9292065
645,CHN,2017,0.4543954
651,RUS,2017,1.1229603
651,CHN,2017,0.6481492
652,RUS,2017,1.9791863
652,CHN,2017,1.5043752
660,RUS,2017,1.1753503
660,CHN,2017,0.7005392
663,RUS,2017,0.8400067
663,CHN,2017,0.3651956
666,RUS,2017,2.3683937
666,CHN,2017,2.8432048
670,RUS,2017,0.7304661
670,CHN,2017,0.255655
679,RUS,2017,0.7255075
679,CHN,2017,0.2506964
690,RUS,2017,0.9126317
690,CHN,2017,0.4378206
692,RUS,2017,0.7462501
692,CHN,2017,0.271439
694,RUS,2017,0.7182487
694,CHN,2017,0.2434376
696,RUS,2017,0.5623324
696,CHN,2017,0.0875213
