"","country","period","influencer","value","article_total","mean_total_rai","percentage_change","increase"
"1","Uzbekistan","2022-2024","Russia",2132,147068,144.966954062067,-61.9532457209656,-236.056228622271
"2","Kyrgyzstan","2022-2024","Russia",2075,151590,136.882380104229,-61.6465665008086,-220.014949849593
"3","Armenia","2022-2024","Russia",1880,167880,111.984751012628,-34.754776855576,-59.651953738528
"4","Namibia","2022-2024","Russia",42,31041,13.530491930028,-32.3612228697891,-6.47355383203621
"5","Azerbaijan","2022-2024","Russia",2223,155314,143.129402371969,-29.5998327501379,-60.1789248142131
"6","Paraguay","2022-2024","Russia",30,174419,1.71999610134217,-24.0326864782916,-0.544130430986322
"7","Pakistan","2022-2024","Russia",884,446689,19.7900552733557,-23.3860732262633,-6.0408296671872
"8","Macedonia","2022-2024","Russia",299,77994,38.336282278124,-22.5474015702991,-11.1601620702468
"9","Kazakhstan","2022-2024","Russia",1682,61232,274.692970995558,-17.0065322828225,-56.2884647141147
"10","Nigeria","2022-2024","Russia",192,225929,8.49824502387918,-12.6263526298128,-1.22808010922825
"11","Malaysia","2022-2024","Russia",200,380668,5.25392205281242,-12.3688338815385,-0.741572798539972
"12","Mozambique","2022-2024","Russia",112,28021,39.9700224831376,-6.81089901997961,-2.92128354170228
"13","Moldova","2022-2024","Russia",2100,105108,199.794497088709,-2.12520072095257,-4.33823019186693
"14","Algeria","2022-2024","Russia",309,97045,31.840898552218,0.835038030904811,0.263681769239128
"15","Philippines","2022-2024","Russia",248,248050,9.99798427736343,6.38907690512311,0.600417752484613
"16","El Salvador","2022-2024","Russia",50,108160,4.62278106508876,14.8131609593352,0.59642988159851
"17","Sri Lanka","2022-2024","Russia",128,220834,5.79620891710516,16.5322044960564,0.82229724850602
"18","Guatemala","2022-2024","Russia",47,77576,6.0585748169537,19.9025153945366,1.00565762249945
"19","Hungary","2022-2024","Russia",1541,152517,101.037917084653,27.4140861055213,21.7390576155549
"20","Tunisia","2022-2024","Russia",56,72411,7.73363163055337,37.168846353915,2.09559366776442
"21","Morocco","2022-2024","Russia",100,85755,11.6611276310419,38.0004453142028,3.21106241241775
"22","Colombia","2022-2024","Russia",142,205744,6.90178085387666,38.7466307277628,1.92740358959644
"23","Malawi","2022-2024","Russia",31,44146,7.02215376251529,38.8459087881507,1.96463797122928
"24","Zimbabwe","2022-2024","Russia",112,99156,11.2953326072048,54.3496544800379,3.97731647995417
"25","Turkey","2022-2024","Russia",3238,483882,66.9171409558529,59.2064090408302,24.8854530614973
"26","Liberia","2022-2024","Russia",33,28437,11.6045996413124,59.2228434785667,4.31632404731791
"27","Peru","2022-2024","Russia",1961,132760,147.710153660741,62.1442033946128,56.6121368532845
"28","Dominican Republic","2022-2024","Russia",79,220103,3.58922867930015,86.9047764001399,1.66887717816138
"29","South Sudan","2022-2024","Russia",54,21221,25.4464916827671,92.0035668586632,12.1933568066329
"30","Honduras","2022-2024","Russia",43,125401,3.42899976874188,92.8265189103144,1.65071751372863
"31","Kosovo","2022-2024","Russia",915,147809,61.9042142224087,93.0052062700872,29.830357035478
"32","Senegal","2022-2024","Russia",117,56779,20.6062100424453,126.011201324433,11.4888698744836
"33","India","2022-2024","Russia",7958,3261253,24.4016640229997,126.368996515538,13.6220677007954
"34","Mauritania","2022-2024","Russia",64,31459,20.3439397310785,127.57470762811,11.4044842251866
"35","Belarus","2022-2024","Russia",4504,227878,197.649619533259,144.546717055919,116.826772302779
"36","Bangladesh","2022-2024","Russia",1088,527531,20.6243803681679,145.934461780773,12.2382517146925
"37","Angola","2022-2024","Russia",158,72629,21.7543956270911,148.154496182321,12.9879231425031
"38","DR Congo","2022-2024","Russia",160,112154,14.2660984004137,148.411803043053,8.52317546935588
"39","Ecuador","2022-2024","Russia",71,80471,8.82305426799717,153.032844130184,5.33613370702139
"40","Ghana","2022-2024","Russia",143,145975,9.79619797910601,182.79786778558,6.33216974727592
"41","Albania","2022-2024","Russia",343,101898,33.6611120924846,201.07571657549,22.4808307747635
"42","Serbia","2022-2024","Russia",1797,160994,111.619066549064,205.979698641917,75.1398272255132
"43","Nepal","2022-2024","Russia",174,73511,23.6699269497082,212.717527325985,16.1008190867409
"44","Rwanda","2022-2024","Russia",61,22829,26.7203994918744,216.737838193005,18.2842746372265
"45","Georgia","2022-2024","Russia",828,33983,243.651237383398,219.29283259884,167.341589152264
"46","Tanzania","2022-2024","Russia",56,52218,10.7242713240645,232.79244891725,7.50176090985401
"47","Ethiopia","2022-2024","Russia",107,17226,62.1154069429931,239.081104789917,43.7966607593986
"48","Indonesia","2022-2024","Russia",692,740093,9.35017626163198,242.569953453692,6.62075525801909
"49","Cameroon","2022-2024","Russia",297,52359,56.7237724173495,256.456487199338,40.8105335075949
"50","Timor Leste","2022-2024","Russia",3,473,63.4249471458774,289.429175475687,47.1383021947373
"51","Benin","2022-2024","Russia",44,22665,19.4131921464814,289.590411059637,14.4302173105043
"52","Zambia","2022-2024","Russia",51,17749,28.7340131838413,362.37816214998,22.5196164981862
"53","Uganda","2022-2024","Russia",101,44040,22.9336966394187,387.609545645865,18.2304054827532
"54","Mali","2022-2024","Russia",785,56798,138.209091869432,389.101413944644,109.951334290127
"55","Kenya","2022-2024","Russia",118,81125,14.5454545454545,397.163636363636,11.6197670088834
"56","Ukraine","2022-2024","Russia",56187,352632,1593.36078404683,440.587253298972,1298.61451055939
"57","Cambodia","2022-2024","Russia",71,37543,18.9116479769864,579.521596844814,16.128565281043
"58","Nicaragua","2022-2024","Russia",315,45609,69.0653160560416,705.623366799615,60.4924122771446
"59","South Africa","2022-2024","Russia",692,174689,39.6132555570185,746.90746173152,34.9358548554084
"60","Jamaica","2022-2024","Russia",102,73602,13.8583190674166,915.191163283607,12.4932245346203
"61","Burkina Faso","2022-2024","Russia",286,31499,90.7965332232769,1395.21387775751,84.7240552604953
"62","Niger","2022-2024","Russia",249,15803,157.565019300133,1991.3024509004,150.030718403948
